WOOOOOOOOO
TRUMP TRAIN
a shame that neither of these dinosaurs can speak
two repeat trump....when he starts repeating himself its all down hill
LOL
Who’s going to break the audience rules first? Trump JR. is my bet if he’s not sober but we all know we can’t figure it out.
Judge is at bat!
VOTE BLUE IF UR SMART
TRUMP
biden
$750 tax payer
this guy speaks like his supporters...4th grade level
Trump 2020
#FREEECONOMIC #FREEPEOPLE = #NOCOMMUNISM
Download the #TRUMP2020 Mobile App
GRAPE
GO TRUMP2020
BIDEN 2020!!
JESUS MATTERS
TRUMP
TRUMP 2020
???
Trump 2020
This is the most pathetic debate I've ever seen
EVERYONE SPAM CRINGE OR YOUR CRINGE
#GARFIELD2020
TRUMP
TRUMP 2020!!!
Dr. Doofenshmirtz
Biden showed up. I'm surprised
XI 2020!
trump 2020
poggers
TRUMP
Even Lincoln didn't put a candidate forward close to an election...
WHERE IS THE FACT CHECK?!?!?!?!?!?!
trump
No public speaking skills
GO TRUMP
"this is tricky for donald, hes acing it so far"
Sick answer he don’t understand the question rambling again! Biden you should feel comfortable now!!
Trump 2020
who wants to play amoing us with me please
yeah a new justice but no relief for coranavirus. They have their priority
YOU DIDN'T WIN
Nobody pays taxes better than me
KANYE WEST!!!!
trump
TRUMP
HE LOOKS LIKE SQUASH
I don't think knows how to answer this question
CHEETO 2020
yo
lol Trump is burnt toast
TRUMP 2020
#FREEECONOMIC #FREEPEOPLE = #NOCOMMUNISM
VOTE HIM OUT
LOL JUST SHOWING 1 SIDED TWEETS
biden 2020
lies already
why am i watching now this
"Consider? no...a responsibility according to THE CONSTITUTION. and Biden said as much, and now has changed his mind with a R prez. And after it's fine, now or then, he can pick when."
trump!
VOTE HIM OUT
lol
TRUMP TRUMP TRUMP
CHEETO 2020
ASSANGE
YES INDEED VERY GOOOD EXELLENT VERY SIMPLE AND GREAT
Trump 2020
we have the white house ok good
anyone on
TRUMP 750750
TRUMP 90210
WHERE IS THE FACT CHECK?!?!?!?!?!?
Obama won the election... so... that?
YANG2020
HERE HE GOES
HURRDURR WE WON (without the popular vote)
GO AMY
CHEETO 2020
vote him out
CHEETO 2020
TRUMP 2020
TRUMP 2020
"Vote smart, Vite BIDEN"
ACB
CHEETO 2020
SQUASH
TRUMP2020
CONSEQUENCES!! Opening Remark.
TRUMP
FAST FAST FAST
He hasnt even answered
GO AMY GO TRUMP
MAGA!!!!
WHAT IS HE EVEN SAYING
poggers
trump 2020
Saw him vent bro he kind of sus
biden 2020
evil incorporated
AI president for 2020!!!
???
CHEETO 2020
me trying to reach the word count for an essay when it's due at midnight:
Biden pog
BIDEN GOES DOWN TONIGHT
?? Barret > Ginsburg ?
JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE ROGAN & JOEY DIAZ as anchor !!!
#GARFIELD2020
Cringe bro cringe
trump 2020 CRINGE!!!!!!!
boo
JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE ROGAN & JOEY DIAZ as anchor !!!
TRUMP WILL TAKE US TO THE NEXT LEVEL
BIDEN GOES DOWN TONIGHT
He’s lying already.
FBISHB 202202
GO TRUMP
BIDEN 2020!!
BIDEN ZZZZZZZ
BIDEN 2020
trump
JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE JOE ROGAN & JOEY DIAZ as anchor !!!
Get a shotgun-Biden
already trashtalking
#FREEECONOMIC #FREEPEOPLE = #NOCOMMUNISM
JESUS MATTERS
TURNIP 2020
CHINA for BIDEN
Trump2020!!!
!!BIDEN 2020!!
ACB
XI 2020
TRUMP 750750
GOOD STUDENT
i have a lot of time after the election cryyyying
THE WALL
BLM Vote him OUT!
biden
biden
!!BIDEN 2020!!
THATS MY PRESIDENT
CRINGE
TRUMP
!!BIDEN 2020!!
CAN WE GET POGGERS IN THE CHAT?
biden pog
CRINGE
"how were those 750 tax pays, trump?"
Boop
#GARFIELD2020
CRINGE
BIDEN2020
biden
!!BIDEN 2020!!
Stop rambling
im going to the channel without the junk tweets on the side
"is the split screen gonna be only tweets or actually fact checking? Like, real checking."
!!BIDEN 2020!!
!!BIDEN 2020!!
biden
CHEETO 2020
!!BIDEN 2020!!
?Dr. Doofenshmirtz 2020
TRUMP TRAIN
biden
WHAT?
Trumppp
THE FREE WORLD WITH PRESIDENT TRUMP
DEFINETELY
biden
TRUMP
TRUMP 2020
I’m pretty sure trump is gonna win
Im
the absolute rambling lmao
RIP JOE ROGAN
CIMATE CHANGE!!!
DUDE
Trump 2020 make america still great
TRUMP TRUMP TRUMP
blame china lol
RONALD RUMP
Lying again !!
Keep the memes out of general!
So she is good cuz you won the election
BOOOOOOOOOO
biden 2020
TRUMPPPPPPP
does biden know where he is?
TRUMP 750750
trump 90210
F
ALM MAGA 2020 SLEEPY JOE
BIDEN 2020!!
TRUMP
BIDEN
honestly what did he even say
ACB
Trump??
T1 for president
BIDEN
BOOOOOOOOOOOOO
RONALD MCDONALD 2020
PLAY AMONG US WITH ME
here we go
AI robot for 2020!!
!!BIDEN 2020!!
BOOOOOOOOOOOO
?? Elections have consequences ?
Biden 2020
Get these tweets of the screen.. biased much?
BIIIIIIDEEEEN!!!!!
BIDEN 2020!!
750 DOLLARS
BOOOOOOOOOOOOOO
TRUMP/PENCE 2020
WASTE TIME
jo jorgensen
THE WALL
BIDEN
Elections have consequences? Doesn't it sound like he realizes that he is not fit to lead?
TRUMP 2020
YAYYYYYYYYYYYYYY
BIDEN2020
TRUMP TRUMP TRUMP
rip
poggers
BIDEN 2020!!
BOOOOOOOOOOOO
Biden! Biden! Biden!
!!BIDEN 2020!!
BIDEN POG
RONALD RUMP
SLEEPY JOE GET OUTTA HERE
HOW STUPID
What even was that?
YIKES
biden 2020
idk
:shelterin:
Biden! Biden! Biden!
yoohooo
Smae with Biden 2020 yall are spammy too
?TRUMP 2020
Biden is boring
